Date,Video,Video title,Video publish time,Views
2022-02-06,1MVekPGMJrE,"패러다임 전환, 이후의 교육이 가야할 방향","Feb 10, 2022",0
2022-02-07,1MVekPGMJrE,"패러다임 전환, 이후의 교육이 가야할 방향","Feb 10, 2022",0
2022-02-08,1MVekPGMJrE,"패러다임 전환, 이후의 교육이 가야할 방향","Feb 10, 2022",0
2022-02-09,1MVekPGMJrE,"패러다임 전환, 이후의 교육이 가야할 방향","Feb 10, 2022",237
2022-02-10,1MVekPGMJrE,"패러다임 전환, 이후의 교육이 가야할 방향","Feb 10, 2022",251
2022-02-11,1MVekPGMJrE,"패러다임 전환, 이후의 교육이 가야할 방향","Feb 10, 2022",118
2022-02-12,1MVekPGMJrE,"패러다임 전환, 이후의 교육이 가야할 방향","Feb 10, 2022",142
2022-02-06,R8733uXg_co,"대장동 의혹, 이렇게 견고한 '기득권 카르텔' 을 어떻게 깨야할까요? #shorts","Oct 2, 2021",215
2022-02-07,R8733uXg_co,"대장동 의혹, 이렇게 견고한 '기득권 카르텔' 을 어떻게 깨야할까요? #shorts","Oct 2, 2021",136
2022-02-08,R8733uXg_co,"대장동 의혹, 이렇게 견고한 '기득권 카르텔' 을 어떻게 깨야할까요? #shorts","Oct 2, 2021",139
2022-02-09,R8733uXg_co,"대장동 의혹, 이렇게 견고한 '기득권 카르텔' 을 어떻게 깨야할까요? #shorts","Oct 2, 2021",1
2022-02-10,R8733uXg_co,"대장동 의혹, 이렇게 견고한 '기득권 카르텔' 을 어떻게 깨야할까요? #shorts","Oct 2, 2021",5
2022-02-11,R8733uXg_co,"대장동 의혹, 이렇게 견고한 '기득권 카르텔' 을 어떻게 깨야할까요? #shorts","Oct 2, 2021",6
2022-02-12,R8733uXg_co,"대장동 의혹, 이렇게 견고한 '기득권 카르텔' 을 어떻게 깨야할까요? #shorts","Oct 2, 2021",2
2022-02-06,a1rXB7LEIF0,자녀이야기 EP 4. 첫째아들편 - 김동연의 진심,"Feb 7, 2022",44
2022-02-07,a1rXB7LEIF0,자녀이야기 EP 4. 첫째아들편 - 김동연의 진심,"Feb 7, 2022",930
2022-02-08,a1rXB7LEIF0,자녀이야기 EP 4. 첫째아들편 - 김동연의 진심,"Feb 7, 2022",143
2022-02-09,a1rXB7LEIF0,자녀이야기 EP 4. 첫째아들편 - 김동연의 진심,"Feb 7, 2022",59
2022-02-10,a1rXB7LEIF0,자녀이야기 EP 4. 첫째아들편 - 김동연의 진심,"Feb 7, 2022",43
2022-02-11,a1rXB7LEIF0,자녀이야기 EP 4. 첫째아들편 - 김동연의 진심,"Feb 7, 2022",29
2022-02-12,a1rXB7LEIF0,자녀이야기 EP 4. 첫째아들편 - 김동연의 진심,"Feb 7, 2022",35
2022-02-06,bC0NOfMPKvU,"김동연 후보, ""기득권 공화국에서 기회의 나라로""","Feb 9, 2022",0
2022-02-07,bC0NOfMPKvU,"김동연 후보, ""기득권 공화국에서 기회의 나라로""","Feb 9, 2022",0
2022-02-08,bC0NOfMPKvU,"김동연 후보, ""기득권 공화국에서 기회의 나라로""","Feb 9, 2022",318
2022-02-09,bC0NOfMPKvU,"김동연 후보, ""기득권 공화국에서 기회의 나라로""","Feb 9, 2022",291
2022-02-10,bC0NOfMPKvU,"김동연 후보, ""기득권 공화국에서 기회의 나라로""","Feb 9, 2022",139
2022-02-11,bC0NOfMPKvU,"김동연 후보, ""기득권 공화국에서 기회의 나라로""","Feb 9, 2022",94
2022-02-12,bC0NOfMPKvU,"김동연 후보, ""기득권 공화국에서 기회의 나라로""","Feb 9, 2022",78
2022-02-06,jZmhtqlAXWM,김동연의 송곳질문 부동산 폭락사태? 311만호 공급? (한판승부 대선토론 김동연vs이재명),"Feb 8, 2022",0
2022-02-07,jZmhtqlAXWM,김동연의 송곳질문 부동산 폭락사태? 311만호 공급? (한판승부 대선토론 김동연vs이재명),"Feb 8, 2022",155
2022-02-08,jZmhtqlAXWM,김동연의 송곳질문 부동산 폭락사태? 311만호 공급? (한판승부 대선토론 김동연vs이재명),"Feb 8, 2022",292
2022-02-09,jZmhtqlAXWM,김동연의 송곳질문 부동산 폭락사태? 311만호 공급? (한판승부 대선토론 김동연vs이재명),"Feb 8, 2022",117
2022-02-10,jZmhtqlAXWM,김동연의 송곳질문 부동산 폭락사태? 311만호 공급? (한판승부 대선토론 김동연vs이재명),"Feb 8, 2022",93
2022-02-11,jZmhtqlAXWM,김동연의 송곳질문 부동산 폭락사태? 311만호 공급? (한판승부 대선토론 김동연vs이재명),"Feb 8, 2022",76
2022-02-12,jZmhtqlAXWM,김동연의 송곳질문 부동산 폭락사태? 311만호 공급? (한판승부 대선토론 김동연vs이재명),"Feb 8, 2022",20
