Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,7551,209.7063,70,65858,5.43
jZmhtqlAXWM,김동연의 송곳질문 부동산 폭락사태? 311만호 공급? (한판승부 대선토론 김동연vs이재명),"Feb 8, 2022",753,13.2503,7,6498,6.11
a1rXB7LEIF0,자녀이야기 EP 4. 첫째아들편 - 김동연의 진심,"Feb 7, 2022",1283,37.1826,5,8088,7.81
a0PK_43VSUY,"김동연의 따끔한 일침, '650개 공약, 얼마나 드는지 계산해보셨습니까?'  (한판승부 대선토론 김동연vs이재명)","Feb 5, 2022",408,6.1489,4,3746,5.47
oQq9UybYZ-M,"[공식] 김동연 제 20대 대통령선거 출마 선언 | 새로운 10년, 조용한 혁명 (4K)","Sep 8, 2021",210,8.27,4,1244,6.27
FoXS00VlnYA,"김동연의 홍대 로드투어 중 타로 점괘, 100%의 승리보다는...","Jan 17, 2022",19,0.5217,3,196,3.06
fm2w25t8VBs,3선 초과 연임금지 꼼수다! (한판승부 대선토론 김동연vs이재명),"Feb 3, 2022",177,3.2446,3,2150,4.47
1MVekPGMJrE,"패러다임 전환, 이후의 교육이 가야할 방향","Feb 10, 2022",748,16.7565,2,6262,5.19
3f8xa0TOgQM,문재인 정부의 정책에 대한 공과 과? 저는 소신껏 목소리를 냈습니다 #shorts,"Nov 12, 2021",91,0.9048,2,22,0
R8733uXg_co,"대장동 의혹, 이렇게 견고한 '기득권 카르텔' 을 어떻게 깨야할까요? #shorts","Oct 2, 2021",504,4.5034,2,1167,10.97
W7VjPAnCo_M,김동연-이재명 대선후보 정책토론회,"Feb 2, 2022",293,42.0192,2,3506,5.85
bC0NOfMPKvU,"김동연 후보, ""기득권 공화국에서 기회의 나라로""","Feb 9, 2022",920,31.0449,2,7497,6.51
NvR-kE2GcFc,김동연이 제시하는 ‘여야정 공통공약추진위원회’ #Shorts,"Aug 9, 2021",19,0.1158,1,34,2.94
XMhR6f8yv6s,김동연 대통령 예비 후보 AI 아바타 winDY(윈디),"Dec 7, 2021",17,0.1393,1,58,17.24
i4uTdgUDRC0,"여성가족부 폐지, 김동연의 생각은?","Jan 28, 2022",60,0.9211,1,540,7.04
jshlTHurIDc,[풀영상] 김동연 '새로운물결' 창당 발기인 대표 연설,"Nov 3, 2021",3,0.2659,1,66,4.55
nBD8uiy04n8,김동연이 진단한 대한민국의 문제점은 이것입니다 #shorts,"Sep 28, 2021",51,0.5914,1,198,18.69
 -GqLHgyHa0A,김동연TV 시작합니다!,"Sep 7, 2021",9,0.0538,0,76,3.95
0FWwGo1pzEw,"[제보영상] 김동연, 붕어빵 제조 소신 발언","Dec 25, 2021",22,0.2012,0,308,4.22
0I63X9P_A4k,익숙한 것들과의 결별이 필요하다! | 경제 아카데미 김동연 특강 | 김동연TV,"Sep 27, 2021",1,0.0076,0,63,1.59
0ltYHIjT9J4,"화장실도 없는 판잣집, ""제게는 위장된 축복이었습니다”","Jan 30, 2022",81,4.0454,0,865,6.82
19wqeMk53is,주가가 떨어지는 걸 원하는 CEO들이 있다? (feat.상속세 김동연),"Jan 14, 2022",12,0.343,0,194,2.58
27_C1g5TaVg,[LIVE김동연] 경희대학교 초청 토크콘서트(21.12.13) 라이브 풀버전,"Dec 13, 2021",7,1.0314,0,155,3.23
2KwTCep31js,"금태섭, 진중권, 권경애와 함께 선거 이후를 고민하다 | 선후포럼 EP 6-1 | 김동연TV","Oct 20, 2021",5,0.7559,0,109,3.67
4C5d8euytNc,이철희 청와대 정무수석께서 대통령 축하 난과 함께 캠프를 방문했습니다 | 김동연TV,"Nov 15, 2021",3,0.0126,0,28,0
4NgGsUO9k3E,긴급3자회동 #Shorts,"Dec 20, 2021",7,0.0207,0,169,1.18
4bsHlVdU2MU,한 국가의 지도자가 공감 능력을 갖지 못한다면.. (feat. 개사과),"Oct 25, 2021",47,0.3916,0,684,3.51
5Ne8WM6IfMI,"김동연 후보의 아내 정우영 여사, 독거노인에 직접 만든 도시락 배달","Jan 28, 2022",14,0.1145,0,457,2.41
5RTFgwiSix8,김동연의 미보라 2화 | 로스쿨? 사법고시 부활? 청년들의 고민 그리고 김동연의 생각 | 김동연TV,"Oct 25, 2021",5,0.2436,0,50,10
5c_SHHKh7t8,전국방문요양협회 지부장 간담회,"Dec 17, 2021",4,0.0903,0,91,2.2
